"Day","Year A","Year B","Year C"
"The First Sunday in Advent","Isa 2:1-5|Ps 122|Rom 13:8-14|Matt 24:29-44","Isa 64:1-9a|Ps 80 or 80:1-7v|1 Cor 1:1-9|Mark 13:24-37","Zech 14:(1-2)3-9|Ps 50 or 50:1-6|1 Thess 3:6-13|Luke 21:25-33"
"The Second Sunday in Advent","Isa 11:1-10|Ps 72:1-15(16-19)|Rom 15:1-13|Matt 3:1-12","Isa 40:1-11|Ps 85|2 Pet 3:8-18|Mark 1:1-8","Mal 3:1-5|Ps 126|1 Cor 4:(1-7)8-21|Luke 3:1-6"
"The Third Sunday in Advent","Isa 35:1-10|Ps 146|James 5:7-20|Matt 11:2-19","Isa 65:17-25|Ps 126|1 Thess 5:12-28|John 3:22-30 or John 1:19-28","Zeph 3:14-20|Ps 85|Phil 4:4-9|Luke 3:7-20"
"The Fourth Sunday in Advent: Annunciation","Isa 7:10-17|Ps 24|Rom 1:1-7|Matt 1:18-25","2 Sam 7:1-17|Ps 132:(1-7)8-19|Rom 16:25-27|Luke 1:26-38","Mic 5:2-5a|Ps 80:1-7v|Heb 10:1-10|Luke 1:39-56"
"The First Sunday of Christmas","Isa 61:10-62:5|Ps 147:12-20v|Gal 3:23-4:7|John 1:1-18","Isa 61:10-62:5|Ps 147:12-20v|Gal 3:23-4:7|John 1:1-18","Isa 61:10-62:5|Ps 147:12-20v|Gal 3:23-4:7|John 1:1-18"
"The Second Sunday of Christmas","Jer 31:7-14|Ps 84|Eph 1:3-14|Luke 2:41-52 or Matt 2:1-12","Jer 31:7-14|Ps 84|Eph 1:3-14|Matt 2:13-23 or Matt 2:1-12","Jer 31:7-14|Ps 84|Eph 1:3-14|Luke 2:22-40 or Matt 2:1-12"
"The First Sunday of Epiphany: Baptism of Our Lord","Isa 42:1-9|Ps 89:1-29v or 89:20-29v|Acts 10:34-38|Matt 3:13-17","Isa 42:1-9|Ps 89:1-29v or 89:20-29v|Acts 10:34-38|Mark 1:7-11","Isa 42:1-9|Ps 89:1-29v or 89:20-29v|Acts 10:34-38|Luke 3:15-22"
"The Second Sunday of Epiphany","Ex 12:21-28|Ps 40:1-11v|1 Cor 1:1-9|John 1:29-42","1 Sam 3:1-20|Ps 63:1-9(10-12)v|1 Cor 6:9-20|John 1:43-51","Isa 62:1-5|Ps 96|1 Cor 12:1-11|John 2:1-11"
"The Third Sunday of Epiphany","Amos 3:1-11|Ps 139:1-18v|1 Cor 1:10-17|Matt 4:12-22","Jer 3:19-4:4|Ps 130|1 Cor 7:17-24|Mark 1:14-20","Neh 8:1-12|Ps 113|1 Cor 12:12-27|Luke 4:14-21"
"The Fourth Sunday of Epiphany","Mic 6:1-8|Ps 37:1-11v|1 Cor 1:18-31|Matt 5:1-12","Deut 18:15-22|Ps 111|1 Cor 8:1-13|Mark 1:21-28","Jer 1:4-10|Ps 71:11-20v|1 Cor 14:12-25|Luke 4:21-32"
"The Fifth Sunday of Epiphany","2 Kings 22:8-20|Ps 27|1 Cor 2:1-16|Matt 5:13-20","2 Kings 4:8-21(22-31)32-37|Ps 142|1 Cor 9:16-23|Mark 1:29-39","Judg 6:11-24|Ps 85|1 Cor 15:1-11|Luke 5:1-11"
"The Sixth Sunday of Epiphany","Ecclesiasticus 15:11-20|Ps 119:(1-8)9-16|1 Cor 3:1-9|Matt 5:21-37","2 Kings 5:1-15a|Ps 42:1-7(8-15)|1 Cor 9:24-27|Mark 1:40-45","Jer 17:5-10|Ps 1|1 Cor 15:12-20|Luke 6:17-26"
"The Seventh Sunday of Epiphany","Lev 19:1-2,9-18|Ps 71 or 71:11-23v|1 Cor 3:10-23|Matt 5:38-48","Isa 43:18-25|Ps 32|2 Cor 1:18-22|Mark 2:1-12","Gen 45:3-11,21-28|Ps 37:(1-7)8-17v|1 Cor 15:35-49|Luke 6:27-38"
